item_id,trip_id,attraction_id,visit_date,start_time,end_time,notes,sort_order
1,1,141,2025-04-01,10:00:00,12:00:00,Visit Statue of Liberty,1
2,2,521,2025-04-02,10:00:00,12:00:00,Visit Navy Pier,1
3,3,858,2025-04-03,10:00:00,12:00:00,Visit Jungle Island,1
4,4,1028,2025-04-04,10:00:00,12:00:00,Visit CN Tower,1
5,5,1565,2025-04-05,10:00:00,12:00:00,Visit Boston Common,1
6,6,2096,2025-04-06,10:00:00,12:00:00,Visit Seattle Aquarium,1
7,7,2186,2025-04-07,10:00:00,12:00:00,Visit PIER 39,1
8,8,2488,2025-04-08,10:00:00,12:00:00,Visit Balboa Park,1
9,9,2888,2025-04-09,10:00:00,12:00:00,Visit Denver Zoo,1
10,10,3308,2025-04-10,10:00:00,12:00:00,Visit Vancouver Aquarium,1
11,11,3608,2025-04-11,10:00:00,12:00:00,Visit SkyJump,1
12,12,3817,2025-04-12,10:00:00,12:00:00,Visit Gateway Arch National Park,1
13,13,3906,2025-04-13,10:00:00,12:00:00,Visit Pittock Mansion,1
14,14,4144,2025-04-14,10:00:00,12:00:00,Visit Texas Capitol,1
15,15,4154,2025-04-15,10:00:00,12:00:00,Visit SeaWorld Orlando,1
